root_id	group	message_depth	message_id	from	to	date	subject	message_body	nchar_fulltext	nchar_body	nchar_log	nchar_code	nchar_quot
<4XKkXcJxpS8yKED6@example.com>	gmane.plants.sansevieria.collectors	6	<000101c42020$44d02330$e496f004@dad>	NsgQ2EZmBoGE5Rql@example.com		2004-04-11 16:54:01-07:00	RE: test	"And boy was herm ever proved RIGHT!
 <gmane_tag_log_data> <gmane_tag_quotation_marker> <gmane_tag_inline_headers> <gmane_tag_quotation_marker> <gmane_tag_quotation> no it is the yahoo list. the topica list is tsYLq8VyfhJyReF4@example.com

the various list hosting people are so unstable and given to things like

adding banner ads, i felt a backup place was needed.

 <gmane_tag_closing> <gmane_tag_visual_separator> Checked by AVG anti-virus system (http://www.grisoft.com).
 <gmane_tag_tabular> <gmane_tag_mua_signature> <gmane_tag_visual_separator> <gmane_tag_mua_signature>"	1725	577	5	0	110
<4XKkXcJxpS8yKED6@example.com>	gmane.plants.sansevieria.collectors	6	<LUElN8CDp/KwIPNg@example.com>	DygfOdMzxHu8JfZr@example.com		2004-04-06 15:11:59-05:00	Re: test	"well send me an e, and if I'm ""on"", I'll respond...
-LYNN
 <gmane_tag_personal_signature> <gmane_tag_quotation_marker> <gmane_tag_quotation> <gmane_tag_mua_signature> <gmane_tag_visual_separator> <gmane_tag_mua_signature>"	1530	221	0	0	649
<4XKkXcJxpS8yKED6@example.com>	gmane.plants.sansevieria.collectors	7	<tuGgcB1tOOtYFU/6@example.com>	JCtf/tzasne4BQOF@example.com		2004-04-06 13:31:41-07:00	Re: test	"<gmane_tag_quotation_marker> <gmane_tag_quotation> dear IdiotWoman, all you have to do is send a blank post to
 <gmane_tag_quotation> and then they notify me and i have to go in and using the special key and 
secret combination, unlock the safe and let you in.

 <gmane_tag_closing> <gmane_tag_visual_separator> Checked by AVG anti-virus system (http://www.grisoft.com).
 <gmane_tag_tabular> <gmane_tag_mua_signature>"	969	417	0	0	151
<4XKkXcJxpS8yKED6@example.com>	gmane.plants.sansevieria.collectors	4	<KQWWvpEuL+bKHevZ@example.com>	JCtf/tzasne4BQOF@example.com		2004-04-06 12:48:14-07:00	Re: test	"<gmane_tag_quotation> you will notice increased growth with the increased daylight hours!

 <gmane_tag_closing> <gmane_tag_visual_separator> Checked by AVG anti-virus system (http://www.grisoft.com).
 <gmane_tag_tabular> <gmane_tag_mua_signature>"	769	246	0	0	70
<bouB3kxTuuae2M1j@example.com>	gmane.network.opennms.general	0	<bouB3kxTuuae2M1j@example.com>	iuALbuER7z67KsKO@example.com	H2tjPRLUzr3ffuE0@example.com	2018-08-03 20:39:56+00:00	Unformatted Traps received; have MIB compiled	"Hi everyone, I am fairly new to the configuration of OpenNMS so I hope this makes sense to everyone.

I am testing out Traps coming from an application server, whose MIBs I have loaded onto the OpenNMS MIB compiler. We are receiving the traps as unformatted despite this.

I was looking at documentation and some older similar issue reports from the issues.opennms.org website and I ran across dialogue saying that loading the MIB is not enough and that we needed to add the xml file, where the events are defined, in the <Include> section of the eventconf.xml file and restart the server for it to recognize it properly?

What we have done in the interim is under the event description follow the mask element description given by ONMS and used the id, generic and specific values shown below and edited the mask elements to match within the events configuration file

Event log:

This is the default event format used when an enterprise specific event (trap) is received for which no format has been configured (i.e. no event definition exists).
The total number of arguments received with the trap: 12.
They were:
.1.3.6.1.4.1.6102.1.1=""PROGNOSIS"" .1.3.6.1.4.1.6102.1.2.2=""9"" .1.3.6.1.4.1.6102.1.2.3=""309677"" .1.3.6.1.4.1.6102.1.2.4=""Edge-SipIncReqsDropped"" .1.3.6.1.4.1.6102.1.2.1=""[Glowpoint] Edge Server:[\LYNCEDGE-2V-HRC] Issue resolved with incoming requests being dropped by the Edge Server"" .1.3.6.1.4.1.6102.1.2.5=""\LYNCEDGE-2V-HRC"" .1.3.6.1.4.1.6102.1.2.27=""****************************************************************LYNC **************************************************************** Edge-SipIncReqsDropped"" .1.3.6.1.4.1.6102.1.2.26="""" .1.3.6.1.4.1.6102.1.2.28="""" .1.3.6.1.4.1.6102.1.2.29="""" .1.3.6.1.4.1.6102.1.2.30="""" .1.3.6.1.4.1.6102.1.2.31=""""
Here is a ""mask"" element definition that matches this event, for use in event configuration files:
 <gmane_tag_log_data> <gmane_tag_raw_code> <gmane_tag_log_data> <gmane_tag_raw_code> <gmane_tag_log_data> <gmane_tag_raw_code> Took mask elements above and edited event UEI (under Manage Events Configuration)

 <gmane_tag_log_data> ID                                .1.3.6.1.4.1.6102
Generic                     6
 <gmane_tag_tabular> <gmane_tag_inline_headers> Element Name     Element Values
ID                                .1.3.6.1.4.1
Generic                     6
Specific                      6102

Which seemed to work. Problem is, there are several different Trap even UEI all with different Generic and Specific numbers. Copying the same configs over for each doesn't sound like the correct way to fix this. Will updating the eventconf.xml file with the event definition resolve this?

 <gmane_tag_closing> <gmane_tag_visual_separator> <gmane_tag_mua_signature> <gmane_tag_visual_separator> <gmane_tag_mua_signature>"	3448	2794	213	192	0
<bouB3kxTuuae2M1j@example.com>	gmane.network.opennms.general	1	<yjR7j63lj7sQaCdw@example.com>	6+vBEyjeZvVRyQoH@example.com	H2tjPRLUzr3ffuE0@example.com	2018-08-06 09:30:25+00:00	Re: Unformatted Traps received; have MIB compiled	"<gmane_tag_salutation> What version of OpenNMS are you running? As you are new to OpenNMS your version should be able to create the events and add them to the configuration. Go to
Admin -> Configure OpenNMS -> SNMP MIB Compiler
In the left column you should see the mib(s) yopu compiled. Right click on the Mib, ther sould be a popup-menu where you can select ""Generate Events"". This should generate the xml file for events in that mib and add the file to the event-configuration.

 <gmane_tag_closing> <gmane_tag_visual_separator> <gmane_tag_mua_signature> <gmane_tag_visual_separator> <gmane_tag_mua_signature>"	999	612	0	0	0
<bouB3kxTuuae2M1j@example.com>	gmane.network.opennms.general	2	<Q0LD4jGoCA3QoU1X@example.com>	iuALbuER7z67KsKO@example.com	H2tjPRLUzr3ffuE0@example.com	2018-08-06 15:09:25+00:00	Re: Unformatted Traps received; have MIB compiled	"Hi I am running version: 18.0.0-1

We did press generate events in the compiler and do see the MIB UEI under ""manage events configuration page"" the only thing I didn't do was manually add it to the eventsconf.xml file so im wondering if that needs to be done to get the traps recognized automatically?


 <gmane_tag_closing> <gmane_tag_personal_signature> <gmane_tag_inline_headers> <gmane_tag_salutation> What version of OpenNMS are you running? As you are new to OpenNMS your version should be able to create the events and add them to the configuration. Go to
Admin -> Configure OpenNMS -> SNMP MIB Compiler
In the left column you should see the mib(s) yopu compiled. Right click on the Mib, ther sould be a popup-menu where you can select ""Generate Events"". This should generate the xml file for events in that mib and add the file to the event-configuration.

 <gmane_tag_closing> <gmane_tag_visual_separator> <gmane_tag_mua_signature> <gmane_tag_visual_separator> <gmane_tag_mua_signature>"	1691	995	0	0	0
<bouB3kxTuuae2M1j@example.com>	gmane.network.opennms.general	3	<xkDla0ONIUJIIfMN@example.com>	iuALbuER7z67KsKO@example.com	H2tjPRLUzr3ffuE0@example.com	2018-08-07 06:53:27+00:00	Re: Unformatted Traps received; have MIB compiled	"<gmane_tag_salutation> I finally got root access and checked the eventconf.xml file and I do see the event file for that particular MIB in there. One interesting part is that I am not seeing an <events> open tab; only the </events> closing tab on the bottom, anyone see this before?

 <gmane_tag_raw_code> <gmane_tag_log_data> <gmane_tag_quotation> <gmane_tag_log_data> <gmane_tag_inline_headers> Hi I am running version: 18.0.0-1

We did press generate events in the compiler and do see the MIB UEI under ""manage events configuration page"" the only thing I didn't do was manually add it to the eventsconf.xml file so im wondering if that needs to be done to get the traps recognized automatically?


 <gmane_tag_closing> <gmane_tag_personal_signature> <gmane_tag_inline_headers> <gmane_tag_salutation> What version of OpenNMS are you running? As you are new to OpenNMS your version should be able to create the events and add them to the configuration. Go to
Admin -> Configure OpenNMS -> SNMP MIB Compiler
In the left column you should see the mib(s) yopu compiled. Right click on the Mib, ther sould be a popup-menu where you can select ""Generate Events"". This should generate the xml file for events in that mib and add the file to the event-configuration.

 <gmane_tag_closing> <gmane_tag_visual_separator> <gmane_tag_mua_signature> <gmane_tag_visual_separator> <gmane_tag_mua_signature>"	16457	1392	14047	346	2
<bouB3kxTuuae2M1j@example.com>	gmane.network.opennms.general	4	<OuHynYeSosgtWiwS@example.com>	6+vBEyjeZvVRyQoH@example.com	H2tjPRLUzr3ffuE0@example.com	2018-08-07 08:30:26+00:00	Re: Unformatted Traps received; have MIB compiled	"<gmane_tag_salutation> Ø  I finally got root access

If you use the GUI you can compile the mibs and generate the events without having root access


Ø  One interesting part is that I am not seeing an <events> open tab; only the </events> closing tab on the bottom, anyone see this before?

The beginning of this part is the keyword ""events"" in the first line, this definition get's closed in the last line:

<events xmlns=""http://xmlns.opennms.org/xsd/eventconf"">
 <gmane_tag_raw_code> <gmane_tag_log_data> <gmane_tag_closing> <gmane_tag_visual_separator> <gmane_tag_mua_signature> <gmane_tag_visual_separator> <gmane_tag_mua_signature>"	997	637	11	4	0
<bouB3kxTuuae2M1j@example.com>	gmane.network.opennms.general	5	<lOCXJMOO1dniFDq0@example.com>	iuALbuER7z67KsKO@example.com	H2tjPRLUzr3ffuE0@example.com	2018-08-07 13:22:15+00:00	Re: Unformatted Traps received; have MIB compiled	"Ok, thanks for clearing that up Michael. Looks like everything is the way its supposed to be in OpenNMS. Ill keep digging.


 <gmane_tag_closing> <gmane_tag_personal_signature> <gmane_tag_mua_signature> <gmane_tag_visual_separator> <gmane_tag_inline_headers> <gmane_tag_salutation> Ø  I finally got root access

If you use the GUI you can compile the mibs and generate the events without having root access


Ø  One interesting part is that I am not seeing an <events> open tab; only the </events> closing tab on the bottom, anyone see this before?

The beginning of this part is the keyword “events” in the first line, this definition get’s closed in the last line:

<events xmlns=""http://xmlns.opennms.org/xsd/eventconf"">
 <gmane_tag_raw_code> <gmane_tag_log_data> <gmane_tag_closing> <gmane_tag_visual_separator> <gmane_tag_mua_signature> <gmane_tag_visual_separator> <gmane_tag_mua_signature>"	1433	896	11	2	0
<bouB3kxTuuae2M1j@example.com>	gmane.network.opennms.general	6	</HnyJrTkgqYV0EAH@example.com>	iuALbuER7z67KsKO@example.com	H2tjPRLUzr3ffuE0@example.com	2018-08-07 21:54:27+00:00	Re: Unformatted Traps received; have MIB compiled	"Ok so it seems like ONMS is reading the traps incorrectly or the MIB event definitions incorrectly.

The traps come in as

Received unformatted enterprise event (enterprise:.1.3.6.1.4.1 generic:6 specific:6102).
 <gmane_tag_log_data> Here is the wireshark showing the OID defining the enterprise and the events which is reflected in the MIB events

[cid:u/mjp39LbILG5RlN@example.comC4AE30]

Which are also reflected in the MIB Defintions

 <gmane_tag_section_heading> <gmane_tag_patch> <gmane_tag_personal_signature> <gmane_tag_patch> <gmane_tag_raw_code> <gmane_tag_mua_signature> <gmane_tag_patch> --      irPROGNOSIS Group              (1.3.6.1.4.1.6102.1)
--       irThresholdTrap Group         (1.3.6.1.4.1.6102.1.2)

 <gmane_tag_visual_separator> <gmane_tag_patch> <gmane_tag_mua_signature> Id = .1.3.6.1.4.1.6102
 <gmane_tag_raw_code> These are all different for each even UEI

The only thing we have done for the time being is edit the mask elements to match the incoming event ID which I guess is the fix for now, but any insight here is appreciated!

Id = .1.3.6.1.4.1
Generic = 6
 <gmane_tag_raw_code> <gmane_tag_closing> <gmane_tag_personal_signature> <gmane_tag_inline_headers> Ok, thanks for clearing that up Michael. Looks like everything is the way its supposed to be in OpenNMS. Ill keep digging.

 <gmane_tag_closing> <gmane_tag_personal_signature> <gmane_tag_mua_signature> <gmane_tag_visual_separator> <gmane_tag_inline_headers> <gmane_tag_salutation> <gmane_tag_quotation> If you use the GUI you can compile the mibs and generate the events without having root access


 <gmane_tag_quotation> The beginning of this part is the keyword ""events"" in the first line, this definition get's closed in the last line:

<events xmlns=""http://xmlns.opennms.org/xsd/eventconf"">
 <gmane_tag_raw_code> <gmane_tag_log_data> <gmane_tag_closing> <gmane_tag_visual_separator> <gmane_tag_mua_signature> <gmane_tag_visual_separator> <gmane_tag_mua_signature>"	3837	1960	550	135	171
<bouB3kxTuuae2M1j@example.com>	gmane.network.opennms.general	7	<l7gGHRIrMI+yt7Pr@example.com>	6+vBEyjeZvVRyQoH@example.com	H2tjPRLUzr3ffuE0@example.com	2018-08-08 14:15:14+00:00	Re: Unformatted Traps received; have MIB compiled	"<gmane_tag_salutation> It's a long time since I debugged traps... so I don't know where the problem comes from. But it is very common that either

-          The mib files provided are faulty

-          The snmp trap sender is faulty

From your provided MIB header I assume that 6102 is the vendor ID:
https://opmantek.com/network-management-system-nmis-supported-vendors-snmp.html
*       Integrated Research Ltd. (SNMP Enterprise OID .1.3.6.1.4.1.6102)
So 6102 should not be interpreted as specific:  Received unformatted enterprise event (enterprise:.1.3.6.1.4.1 generic:6 specific:6102).

Now I'm not sure why opennms thinks this is the specific parameter.

Can you send us the output from
echo ""select * from events where eventid=nnnnnnnn;"" | psql
where nnnnnnnn is the eventid of this unformatted trap?

 <gmane_tag_closing> <gmane_tag_visual_separator> <gmane_tag_mua_signature> <gmane_tag_visual_separator> <gmane_tag_mua_signature>"	1327	941	0	0	0
<bouB3kxTuuae2M1j@example.com>	gmane.network.opennms.general	8	<OIpQiHQBQrEPS7pS@example.com>	iuALbuER7z67KsKO@example.com	H2tjPRLUzr3ffuE0@example.com	2018-08-08 23:29:42+00:00	Re: Unformatted Traps received; have MIB compiled	"Michael thank you so much for your help here.

Here is the requested output:

 <gmane_tag_log_data> <gmane_tag_patch> <gmane_tag_log_data> <gmane_tag_patch> <gmane_tag_log_data> <gmane_tag_patch> <gmane_tag_raw_code> <gmane_tag_patch> <gmane_tag_raw_code> <gmane_tag_quotation> <gmane_tag_raw_code> <gmane_tag_quotation> <gmane_tag_log_data> <gmane_tag_personal_signature> <gmane_tag_tabular> <gmane_tag_quotation> <gmane_tag_tabular> <gmane_tag_inline_headers> <gmane_tag_salutation> It's a long time since I debugged traps... so I don't know where the problem comes from. But it is very common that either

  *   The mib files provided are faulty
  *   The snmp trap sender is faulty

From your provided MIB header I assume that 6102 is the vendor ID:
https://opmantek.com/network-management-system-nmis-supported-vendors-snmp.html
*      Integrated Research Ltd. (SNMP Enterprise OID .1.3.6.1.4.1.6102)
So 6102 should not be interpreted as specific:  Received unformatted enterprise event (enterprise:.1.3.6.1.4.1 generic:6 specific:6102).

Now I'm not sure why opennms thinks this is the specific parameter.

Can you send us the output from
echo ""select * from events where eventid=nnnnnnnn;"" | psql
where nnnnnnnn is the eventid of this unformatted trap?

 <gmane_tag_closing> <gmane_tag_visual_separator> <gmane_tag_mua_signature> <gmane_tag_visual_separator> <gmane_tag_mua_signature>"	8113	1391	2349	1126	234
<bouB3kxTuuae2M1j@example.com>	gmane.network.opennms.general	9	<wGDPdhhJT2loMhwx@example.com>	6+vBEyjeZvVRyQoH@example.com	H2tjPRLUzr3ffuE0@example.com	2018-08-09 11:47:37+00:00	Re: Unformatted Traps received; have MIB compiled	"<gmane_tag_salutation> sorry, I'm ""out of resources"" (time) at the moment.

I would suggest you

-       Take a look at the events generated from other systems and how the event-oid is treated there

-       Compare the original mib of those events and the one you took here

-       Compare the eventfiles for both of them

There should be a difference there, maybe a missing dot ""."" at the end of an OID or something like this, which leads to the misinterpretation in OpenNMS.

Probably it's just a little change in the MIB and compile/generate events again to fix the problem, or a little fix with the OID or something like this in the event-file

 <gmane_tag_closing> <gmane_tag_inline_headers> Michael thank you so much for your help here.

Here is the requested output:

 <gmane_tag_log_data> <gmane_tag_patch> <gmane_tag_log_data> <gmane_tag_patch> <gmane_tag_log_data> <gmane_tag_patch> <gmane_tag_raw_code> <gmane_tag_patch> <gmane_tag_raw_code> <gmane_tag_quotation> <gmane_tag_raw_code> <gmane_tag_quotation> <gmane_tag_log_data> <gmane_tag_personal_signature> <gmane_tag_tabular> <gmane_tag_quotation> <gmane_tag_tabular> <gmane_tag_inline_headers> <gmane_tag_salutation> It's a long time since I debugged traps... so I don't know where the problem comes from. But it is very common that either
-          The mib files provided are faulty
-          The snmp trap sender is faulty

From your provided MIB header I assume that 6102 is the vendor ID:
https://opmantek.com/network-management-system-nmis-supported-vendors-snmp.html
*       Integrated Research Ltd. (SNMP Enterprise OID .1.3.6.1.4.1.6102)
So 6102 should not be interpreted as specific:  Received unformatted enterprise event (enterprise:.1.3.6.1.4.1 generic:6 specific:6102).

Now I'm not sure why opennms thinks this is the specific parameter.

Can you send us the output from
echo ""select * from events where eventid=nnnnnnnn;"" | psql
where nnnnnnnn is the eventid of this unformatted trap?

 <gmane_tag_closing> <gmane_tag_visual_separator> <gmane_tag_mua_signature> <gmane_tag_visual_separator> <gmane_tag_mua_signature>"	9009	2100	2349	1126	234
<bouB3kxTuuae2M1j@example.com>	gmane.network.opennms.general	10	<byWA2Liiz6LqB5x4@example.com>	iuALbuER7z67KsKO@example.com	H2tjPRLUzr3ffuE0@example.com	2018-08-09 13:42:05+00:00	Re: Unformatted Traps received; have MIB compiled	"No prob thanks for helping and pointing me in the right direction!


 <gmane_tag_closing> <gmane_tag_personal_signature> <gmane_tag_mua_signature> <gmane_tag_visual_separator> <gmane_tag_inline_headers> <gmane_tag_salutation> sorry, I’m „out of resources“ (time) at the moment.

I would suggest you

-       Take a look at the events generated from other systems and how the event-oid is treated there

-       Compare the original mib of those events and the one you took here

-       Compare the eventfiles for both of them

There should be a difference there, maybe a missing dot “.” at the end of an OID or something like this, which leads to the misinterpretation in OpenNMS.

Probably it’s just a little change in the MIB and compile/generate events again to fix the problem, or a little fix with the OID or something like this in the event-file

 <gmane_tag_closing> <gmane_tag_inline_headers> Michael thank you so much for your help here.

Here is the requested output:

 <gmane_tag_log_data> <gmane_tag_patch> <gmane_tag_log_data> <gmane_tag_patch> <gmane_tag_log_data> <gmane_tag_patch> <gmane_tag_raw_code> <gmane_tag_patch> <gmane_tag_raw_code> <gmane_tag_quotation> <gmane_tag_raw_code> <gmane_tag_quotation> <gmane_tag_log_data> <gmane_tag_personal_signature> <gmane_tag_tabular> <gmane_tag_quotation> <gmane_tag_tabular> <gmane_tag_inline_headers> <gmane_tag_salutation> It’s a long time since I debugged traps… so I don’t know where the problem comes from. But it is very common that either
-          The mib files provided are faulty
-          The snmp trap sender is faulty

From your provided MIB header I assume that 6102 is the vendor ID:
https://opmantek.com/network-management-system-nmis-supported-vendors-snmp.html
·       Integrated Research Ltd. (SNMP Enterprise OID .1.3.6.1.4.1.6102)
So 6102 should not be interpreted as specific:  Received unformatted enterprise event (enterprise:.1.3.6.1.4.1 generic:6 specific:6102).

Now I’m not sure why opennms thinks this is the specific parameter.

Can you send us the output from
echo “select * from events where eventid=nnnnnnnn;” | psql
where nnnnnnnn is the eventid of this unformatted trap?

 <gmane_tag_closing> <gmane_tag_visual_separator> <gmane_tag_mua_signature> <gmane_tag_visual_separator> <gmane_tag_mua_signature>"	9390	2301	2349	1126	234
<I4UgYePbm5ms+axS@example.com>	gmane.ietf.avt	0	<I4UgYePbm5ms+axS@example.com>	7ojISDVJQ2jhEaf2@example.com	RqLIjRK63eqvjPuF@example.com	2012-05-25 01:55:52+03:00	[AVTCORE] comments on draft-ietf-avtcore-idms-04	"<gmane_tag_salutation> I reviewed the draft and have some comments

 

1.       In section 6 you have the sentence ""If the RTCP Packet Sender is an
SC (SPST=1) or an MSAS (SPST=2)"" but above the value 2 is not defined for
this document. Do you expect systems that support this document to also
support the ETSI XR report from the MSAS?

2.       In section 6 when defining Packet Presented NTP timestamp it says
""This timestamp reflects the wall clock time at the moment the data
contained in the first octet  of the associated RTP packet is presented to
the user "" I am not sure how to know this since the displayed information is
not the RTP information but the decoded information so it is not clear what
is the first byte. I think that maybe it will good to state in the
definition here and in the packet received that it is the first byte of the
first packet in the frame or the first byte in the rendered frame. I think
that in section 7 you have a better definition.

3.       About the SDP parameters in section 9 and 10. Are these negotiated
between the MCs and the MSAS or just announced by the MSAS.  It will be good
to clarify the usage

4.       I understand that you list the two SDP parameter but the SC need
one of them depending if it supports the ETSI version or this one. Based on
the previous question response it will be good to list the proposed SDP sent
from the MSAS.

5.        I am also not sure how the MSAS will know if to send the RTCP
message or the RTCP-XR message. It is mentioned in section 11 what it should
do but not how the MSAS know which one to send.

6.       In section 13 it will be good to say that the security
consideration of RFC 3611 apply here also.

7.       The IANA section is not clear explain one by one what to do with
the four entities. As for the ETSI  ones (the RTCP-XR and SFP) do you want
to change them or have a reference to this document, if not they are not
needed as IANA consideration since there is no IANA action there. 

8.       You can remove section 16.

 

Roni Even as Individual

 

 

 

 <gmane_tag_visual_separator> <gmane_tag_mua_signature>"	2215	2118	0	0	0
